4.99083,7.05444	4.99083,7.05444

4.99083,7.05444	5.0131,7.0688
1	[!*ọ̀]	606

5.0131,7.0688	6.1038,6.8834
1	[nw*b]	18445
1	[!*ọ̀]	606

5.0131,7.0688	6.1094,6.88615
1	[nw*b]	18445
1	[!*h]	532

5.0131,7.0688	6.1124,6.7738
1	[!*k]	531
1	[+ọ̀]	94
1	[+ā]	77

5.0131,7.0688	6.1124,6.7739
1	[nw*b]	18445
1	[!*ọ̀]	606

5.0131,7.0688	6.11667,7.06667

5.0131,7.0688	6.1334,7.3667
1	[-ch]	11776

5.0131,7.0688	6.1429,6.8914
1	[nw*b]	18445
1	[!*I]	566

5.0131,7.0688	6.145,7.469
1	[nw*b]	18445
1	[-ch]	11776

5.0131,7.0688	6.157,7.0311
1	[-ch]	11776

5.0131,7.0688	6.1665,6.7833
1	[nw*b]	18445
1	[!*ọ̀]	606

5.0131,7.0688	6.16667,7.01667
1	[-ch]	11776

5.0131,7.0688	6.16855,7.4515
1	[-ch]	11776

5.0131,7.0688	6.1831,6.6336
1	[!*l]	538
1	[+ọ̀]	94

5.0131,7.0688	6.1832,6.9834
1	[-ch]	11776

5.0131,7.0688	6.187,7.072

5.0131,7.0688	6.19721,6.9697
1	[nw*b]	18445
1	[!*I]	566

5.0131,7.0688	6.1982,7.0668

5.0131,7.0688	6.2065,7.0679
1	[g*m]	6169
1	[,*5]	1237

5.0131,7.0688	6.22242,6.93223
1	[nw*b]	18445

5.0131,7.0688	6.23032,7.06492
1	[nw*b]	18445
1	[!*ụ̀]	612

5.0131,7.0688	6.2328,6.6478
1	[nw*b]	18445
1	[!*ọ̀]	606

5.0131,7.0688	6.2687,7.0405
1	[+s]	42

5.0131,7.0688	6.26889,7.04225
1	[nw*b]	18445

5.0131,7.0688	6.276,7.005
1	[nw*b]	18445

5.0131,7.0688	6.2871,7.0432

5.0131,7.0688	6.311,6.908
1	[nw*b]	18445

5.0131,7.0688	6.3739,6.8134
1	[nw*b]	18445
1	[!*ọ̀]	606

5.0131,7.0688	6.3823,6.8088
1	[nw*b]	18445
1	[!*ọ̀]	606

5.0131,7.0688	6.3857,6.8229
1	[o*ó]	7776
1	[a*ә]	2688
1	[!*ọ̀]	606

5.0135,7.069	4.99083,7.05444
2	[a*o]	2575
2	[+i]	11
1	[-B]	43520
1	[J*h]	43028
1	[zh*t]	36901
1	[K*ch]	27159
1	[A*a]	23045
1	[gw*t]	22565
1	[gw*ụ]	22542
1	[s*J]	21588
1	[s*w]	21528
1	[gh*n]	20484
1	[t*ch]	18967
1	[t*g]	18956
1	[z*h]	17940
1	[N*d]	17426
1	[f*kwh]	16436
1	[gb*t]	15909
1	[gb*m]	15897
1	[gb*ch]	15895
1	[u*ị]	15401
1	[u*a]	15365
1	[kp*d]	14866
1	[kp*j]	14858
1	[r*t]	13861
1	[r*m]	13849
1	[r*k]	13843
1	[r*b]	13837
1	[r*g]	13836
1	[-r]	13824
1	[m*g]	12812
1	[-m]	12800
1	[ch*m]	11801
1	[ch*j]	11786
1	[ọ*a]	10757
1	[-ọ]	10752
1	[k*s]	9770
1	[k*j]	9738
1	[k*n]	9732
1	[kw*nw]	8740
1	[b*j]	6666
1	[b*y]	6662
1	[g*kw]	6161
1	[i*e]	5641
1	[j*kw]	5137
1	[-j]	5120
1	[y*j]	3082
1	[a*ị]	2601
1	[n*ị]	2089
1	[+ụ]	14

5.0135,7.069	5.0131,7.0688
3	[u*e]	15369
1	[-*m]	26137
1	[s*nw]	21540
1	[s*m]	21529
1	[s*w]	21528
1	[t*ch]	18967
1	[z*Ny]	18000
1	[z*gw]	17964
1	[z*ch]	17943
1	[f*nw]	16420
1	[gb*gw]	15916
1	[gb*kp]	15901
1	[gb*ny]	15888
1	[u*ị]	15401
1	[r*m]	13849
1	[r*k]	13843
1	[-r]	13824
1	[ch*m]	11801
1	[ch*j]	11786
1	[d*nw]	9252
1	[d*sh]	9244
1	[kw*nw]	8740
1	[ụ*u]	7198
1	[b*nw]	6692
1	[b*kw]	6673
1	[b*y]	6662
1	[g*kw]	6161
1	[i*ọ]	5653
1	[j*kw]	5137
1	[e*ị]	4649
1	[a*ị]	2601
1	[a*o]	2575
1	[n*ị]	2089
1	[n*m]	2073
1	[+ị]	41
1	[+f]	32
1	[+ch]	23
1	[+i]	11
1	[+n]	4

5.0135,7.069	5.0135,7.069

5.0135,7.069	5.1335,7.0165
3	[u*ā]	15437
3	[i*à]	5730
3	[e*è]	4700
3	[a*ị]	2601
2	[u*ụ̀]	15460
2	[ọ*à]	10850
2	[ụ*ē]	7295
2	[a*à]	2658
2	[+ò]	119
2	[+r]	27
1	[I*à]	27746
1	[-*ā]	26189
1	[Ị*ō]	25217
1	[O*è]	24668
1	[s*nw]	21540
1	[f*o]	16399
1	[gb*nw]	15908
1	[gb*w]	15896
1	[u*ә]	15488
1	[u*ē]	15487
1	[u*à]	15458
1	[kp*kh]	14895
1	[r*l]	13850
1	[m*r̃]	12934
1	[m*nw]	12836
1	[m*g]	12812
1	[w*t]	12325
1	[ch*t]	11813
1	[E*ē]	11391
1	[ọ*ē]	10879
1	[ọ*ọ̀]	10846
1	[h*w]	10264
1	[ny*sh]	8220
1	[o*ō]	7809
1	[o*ǹ]	7779
1	[ụ*ị̄]	7299
1	[ụ*ọ̀]	7262
1	[-g]	6144
1	[i*ị̀]	5767
1	[i*è]	5724
1	[j*m̀]	5233
1	[j*sh]	5148
1	[a*ụ̄]	2678
1	[a*ụ̀]	2660
1	[a*è]	2652
1	[n*m̄]	2184
1	[n*è]	2140
1	[.*ē]	1663
1	[!*ọ̀]	606
1	[+à]	98
1	[+ọ̀]	94
1	[+è]	92
1	[+ị]	41
1	[+a]	5

5.0135,7.069	5.3999,7.0167
2	[gb*w]	15896
2	[u*ā]	15437
1	[I*à]	27746
1	[Ị*ō]	25217
1	[A*ē]	23167
1	[ị*ị̄]	21123
1	[f*o]	16399
1	[u*ē]	15487
1	[u*à]	15458
1	[kp*kh]	14895
1	[m*nw]	12836
1	[h*w]	10264
1	[k*r̃]	9862
1	[o*ǹ]	7779
1	[ụ*è]	7260
1	[b*ch]	6679
1	[-g]	6144
1	[i*ị̀]	5767
1	[i*à]	5730
1	[j*m̀]	5233
1	[e*è]	4700
1	[e*a]	4613
1	[a*ụ̀]	2660
1	[a*ị]	2601
1	[n*m̄]	2184
1	[.*ə]	1680
1	[!*ọ̀]	606
1	[+à]	98

5.0135,7.069	5.4244,7.1967
2	[gb*w]	15896
1	[I*à]	27746
1	[-*!]	26113
1	[Ị*n]	25092
1	[kh*gw]	24108
1	[A*I]	23094
1	[ị*í]	21143
1	[u*ē]	15487
1	[u*á]	15465
1	[u*à]	15458
1	[kp*k]	14867
1	[kp*y]	14854
1	[m*k]	12819
1	[h*w]	10264
1	[-g]	6144
1	[i*ụ]	5646
1	[j*Ị]	5169
1	[e*a]	4613
1	[a*u]	2590
1	[n*A]	2093
1	[!*ọ̀]	606

5.0135,7.069	5.4543,7.0247
2	[gb*w]	15896
1	[kp*k]	14867
1	[m*nw]	12836
1	[h*w]	10264
1	[-g]	6144
1	[j*Ị]	5169
1	[e*a]	4613
1	[a*ị]	2601
1	[a*u]	2590
1	[n*A]	2093
1	[+i]	11

5.0135,7.069	5.4829,7.0337
1	[I*à]	27746
1	[-*!]	26113
1	[Ị*n]	25092
1	[A*ǝ]	23226
1	[gb*w]	15896
1	[u*ē]	15487
1	[u*à]	15458
1	[m*nw]	12836
1	[h*w]	10264
1	[o*ò]	7799
1	[-g]	6144
1	[e*a]	4613
1	[a*ụ̄]	2678
1	[a*ị]	2601
1	[n*ō]	2177
1	[!*ọ̀]	606
1	[+è]	92

5.0135,7.069	5.522,6.923
1	[I*à]	27746
1	[gb*w]	15896
1	[u*à]	15458
1	[m*nw]	12836
1	[a*ụ̄]	2678
1	[a*ị]	2601
1	[!*ọ̀]	606

5.0135,7.069	5.5832,7.05
1	[I*à]	27746
1	[gb*w]	15896
1	[u*ị̀]	15495
1	[u*à]	15458
1	[m*nw]	12836
1	[h*w]	10264
1	[-g]	6144
1	[a*ị]	2601
1	[a*ọ]	2581
1	[!*ọ̀]	606

5.0135,7.069	5.5834,7.05
1	[I*à]	27746
1	[gb*w]	15896
1	[u*ị̀]	15495
1	[u*à]	15458
1	[m*nw]	12836
1	[h*w]	10264
1	[-g]	6144
1	[a*ị]	2601
1	[a*ọ]	2581
1	[!*ọ̀]	606

5.0135,7.069	5.6027,7.322
1	[I*à]	27746
1	[gb*gh]	15912
1	[gb*w]	15896
1	[u*ē]	15487
1	[u*à]	15458
1	[m*nw]	12836
1	[h*w]	10264
1	[-g]	6144
1	[!*ọ̀]	606

5.0135,7.069	5.664,7.012
1	[I*à]	27746
1	[gb*w]	15896
1	[u*à]	15458
1	[h*w]	10264
1	[!*ọ̀]	606

5.0135,7.069	5.70003,7.73332
1	[gb*r]	15899
1	[gb*w]	15896
1	[h*w]	10264
1	[k*f]	9760
1	[!*ụ]	526

5.0135,7.069	5.71795,7.08217
1	[I*à]	27746
1	[gb*w]	15896
1	[u*à]	15458
1	[!*ọ̀]	606

5.0135,7.069	5.72517,7.13325
1	[I*à]	27746
1	[gb*gh]	15912
1	[gb*w]	15896
1	[u*à]	15458
1	[m*nw]	12836
1	[h*w]	10264
1	[-g]	6144
1	[!*ọ̀]	606

5.0135,7.069	5.783,6.8667
1	[I*à]	27746
1	[gb*w]	15896
1	[u*à]	15458
1	[sh*l]	14362
1	[h*f]	10272
1	[!*ọ̀]	606

5.0135,7.069	5.80897,7.06093
1	[I*à]	27746
1	[gb*w]	15896
1	[u*à]	15458
1	[m*kh]	12847
1	[!*ọ̀]	606
1	[+n]	4

5.0135,7.069	5.85389,6.86
1	[I*à]	27746
1	[gb*w]	15896
1	[u*à]	15458
1	[h*f]	10272
1	[!*ọ̀]	606

5.0135,7.069	5.85916,7.00299
1	[I*à]	27746
1	[gb*w]	15896
1	[u*à]	15458
1	[sh*n]	14340
1	[m*kh]	12847
1	[!*ọ̀]	606

5.0135,7.069	5.9332,7.0834
1	[I*à]	27746
1	[u*à]	15458

5.0135,7.069	5.95007,7.11665
1	[I*à]	27746
1	[u*à]	15458

5.0135,7.069	5.97889,7.09399
1	[I*à]	27746
1	[u*à]	15458

5.0135,7.069	5.9963,6.925
1	[I*à]	27746
1	[ị*ū]	21124
1	[u*à]	15458
1	[sh*n]	14340
1	[h*f]	10272

5.0135,7.069	6.0038,6.9155
1	[I*à]	27746
1	[!*ọ̀]	606
1	[+sh]	28
