Coordinates:	5.3999,7.0167
1	m%e%r%ụ%ọ%ọ%
1	m%e%r%ụ%ọ%
1	m%e%r%e%
1	m%e%e%
1	m%b%ụ%b%ụ̀%r%ụ̀%
1	m%b%ụ%b%à%r%a%
1	m%b%a%r%a%
1	m%ā%r̃%ā%
1	m%a%r̃%a%
1	m%a%g%a%r%a%
1	m%a%a%
1	m%a%
1	l%e%ṁ%a%
1	l%e%r%u%o%
1	l%e%kw%e%
1	kw%ụ̄%sh%ị̄%r%ị̄%
1	kw%ù%r%ù%
1	kw%u%o%
1	kp%ọ̀%g%ị̀%d%è%r%è%
1	kp%ọ%m%kw%è%m̀%
1	kp%ū%sh%ī%r%ī%
1	kp%u%sh%i%r%i%
1	kp%u%r%u%
1	k%ụ%
1	k%ọ̀%r%ọ̀%
1	k%ọ%w%a%m%a%r̃%a%
1	k%ọ%a%l%a%
1	k%è%r%è%
1	k%è%kw%à%r%à%n%ụ̀%
1	k%è%
1	k%à%r̃%à%à%kh%à%
1	k%à%r%à%
1	k%a%r%a%
1	k%a%m%à%
1	k%a%ch%a%
1	j%ì%-%à%kp%ọ%
1	j%è%-%è%nw%e%
1	j%à%-%a%kp%ọ%
1	j%ī%
1	j%i%kw%a%
1	j%i%g%ī%dɦ%ē%r%ē%
1	j%i%
1	j%e%-%
1	j%a%-%ā%h%ụ̄%n%ụ̄%
1	ī%s̃%ē%
1	ī%m%ī%
1	ī%kh%ē%
1	ī%h%ē%
1	i%v%ù%
1	i%sh%i%à%
1	i%m%ī%
1	i%m%e%e%
1	i%l%e%p%ù%
1	i%kp%e%ā%z%ụ̄%
1	i%k%è%r%è%
1	i%k%ē%
1	i%k%e%ǹ%g%à%
1	i%k%e%n%ə%
1	i%j%ī%
1	i%h%ē%
1	i%h%e%è%
1	i%f%è%ch%a%a%
1	i%ch%è%i%ch%è%
1	hw%ụ̄%ā%
1	hw%ụ̀%r%ụ̀%
1	h%ụ̀%
1	h%ụ%
1	h%a%p%ụ̀%
1	gw%a%m̄%
1	gw%a%m%gw%à%m̀%
1	gh%ụ̄%
1	gh%a%f%è%e%
1	gh%a%f%e%è%
1	gh%a%a%
1	gb%à%r%à%
1	gb%ā%s%ā%r%ā%
1	gb%ā%r̃%ā%
1	gb%a%m%b%ì%r%ì%k%ọ%
1	gb%a%kw%a%a%
1	gb%a%gh%à%r%a%
1	gb%a%g%i%d%e%ch%a%a%
1	gb%a%d%à%a%
1	gb%a%d%ā%
1	gb%a%a%l%a%
1	gb%a%a%
1	g%ụ̀%z%o%r%o%
1	g%à%-%è%nw%e%
1	g%à%-%à%w%ụ%
1	g%à%-%à%k%ọ%w%a%r%a%
1	g%à%-%à%gb%a%
1	g%à%-%a%n%ọ̄%
1	g%à%-%a%h%ə%
1	g%ā%-%ē%m%ē%sh%ī%
1	g%ā%
1	g%a%r%u%o%
1	g%a%r%a%
1	g%a%h%ā%
1	g%a%f%ụ̀%
1	g%a%b%à%a%
1	g%a%a%
1	g%a%-%ē%nw%ē%ā%
1	g%a%-%ē%gb%ū%
1	f%i%ị%g%a%
1	f%e%ǹ%s%ì%
1	ē%zh%ī%
1	ē%nw%ē%ṭ%ā%
1	ē%j%ī%
1	e%w%u%u%
1	e%w%e%p%ụ̀%
1	e%nw%è%ə%
1	e%nw%è%kw%à%r%à%
1	e%nw%ē%ṭ%ā%ā%
1	e%nw%ē%ṭ%ā%
1	e%nw%ē%h%ụ̄%ụ̄%
1	e%nw%ē%h%ụ̄%
1	e%nw%ē%ē%
1	e%nw%ē%
1	e%nw%e%ṭ%a%a%
1	e%nw%e%a%n%ụ%
1	e%m%e%sh%i%e%
1	e%m%e%r%ụ%ọ%
1	e%l%ù%
1	e%l%u%
1	e%j%ù%l%à%
1	e%j%ì%r%ì%
1	e%j%è%kw%à%
1	e%gb%ū%w%ā%r%ā%
1	e%ē%
1	e%e%m%
1	e%b%e%e%
1	d%ị̄%
1	d%u%ə%
1	d%i%m̀%kp%à%
1	d%i%kh%ē%
1	d%e%è%n%ụ̀%
1	ch%ị%
1	ch%à%à%
1	ch%a%a%
1	b%ụ̄%
1	b%ụ̀%ụ̀%
1	b%ụ%ụ%
1	b%ụ%
1	b%ọ̀%r%ọ̀%
1	b%ị̀%ị%g%a%
1	b%ị%a%
1	b%è%t%ì%
1	b%è%k%e%è%
1	b%u%d%u%
1	b%a%n%ụ%k%ụ%r%a%à%s%ị̀%
1	ā%z%ụ̄%
1	ā%w%ụ̄%
1	ā%v%ā%
1	ā%ny%ị̄%
1	ā%n%ụ̄%
1	ā%n%ā%h%ụ̄%
1	ā%kp%ụ̄%kp%ọ̄%
1	ā%kp%ọ̄%
1	ā%h%ụ̄%ā%h%ā%
1	ā%f%ọ̄%
1	a%ṭ%ụ%
1	a%ṭ%a%
1	a%à%
1	a%z%ọ̀%g%i%d%e%ch%a%a%
1	a%w%ụ̄%r%ọ̄%
1	a%w%ụ̄%kw%ā%n%ụ̄%
1	a%w%ụ̄%h%ụ̄%
1	a%w%ọ̀%ọ%l%a%
1	a%ṽ%ụ%ṽ%ụ%
1	a%sh%ị̄%
1	a%r̃%a%
1	a%nw%ụ̄%ụ%n%a%à%
1	a%nw%à%
1	a%nw%ā%
1	a%n%ụ̀%f%ụ%
1	a%n%ụ%ụ%
1	a%n%ọ̀%r%ọ%
1	a%n%ọ̀%h%ụ̀%
1	a%n%à%-%e%w%è%r%e%
1	a%n%ā%-%
1	a%m%ụ̀%ụ%
1	a%m%ā%ā%
1	a%m%a%r%a%ch%à%a%
1	a%l%a%a%
1	a%kp%ụ̀%o%b%ì%
1	a%kp%ọ̄%
1	a%kp%ọ̀%r%ọ̀%
1	a%kp%ọ̀%
1	a%kp%ọ%ọ%
1	a%k%ụ̀%k%ọ%
1	a%h%ụ̀%ụ̀%
1	a%h%ị%h%ị%a%
1	a%h%ā%
1	a%gw%ā%n%ā%m%
1	a%g%ị̀%g%a%
1	a%g%a%f%è%z%i%e%
1	a%f%ə%
1	a%ch%a%
1	a%b%ụ%b%à%
1	a%b%ọ̀%r%ọ̀%
1	-%-%
1	(%n%o%w%)%
1	(%l%a%u%gh%)%

Coordinates:	5.4244,7.1967
1357.59	,%
670.685	.%
422.503	y%a%
261.603	n%'%
238.159	ọ%
215.26	n%a%
198.338	y%e%
148.325	k%e%
130.547	h%a%
128.517	w%ụ%
107.309	h%e%
103.645	o%
102.016	nw%a%
98.4955	a%
87.8765	m%
81.6534	n%d%e%
75.8128	o%ny%e%
69.5875	n%a%-%
61.2703	a%h%ụ%
60.7927	i%h%e%
58.9351	m%a%
58.0105	g%a%
57.8414	sh%ị%
57.5502	n%à%
53.1877	sh%i%
52.9618	m%gb%e%
49.0787	h%u%
48.2709	ị%
46.2684	o%t%u%
46.1359	n%n%u%
43.6083	w%ụ̀%
40.9793	e%b%e%
40.233	k%a%
39.4329	e%
38.5675	m%m%a%
36.4283	nw%e%r%e%
36.1158	b%i%a%
35.6627	n%g%a%
31.9768	o%u%t%
31.2623	y%à%
30.4107	h%ụ%
30.0673	k%è%
28.655	i%sh%i%
27.6964	m%ụ%
27.1999	d%i%
27.1133	j%e%e%
26.7191	j%i%
26.5369	i%m%e%
26.3486	m%m%i%r%i%
25.5586	h%à%
24.2586	ọ%z%ọ%
23.354	g%ị%
23.2353	u%kw%u%
23.2236	n%ọ%
22.8177	e%m%e%
22.1406	a%l%a%
22.1123	w%ụ%r%ụ%
22.1084	a%ny%ị%
21.6513	n%ụ%
